Feature ID,Taxon,Confidence
6aa85a929bfdd943c950d8015c19d676,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Oithona;Oithona_sp.;,0.997249243
f9a1199e9ef46ebd802bbbcba6775a56,Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;,0.999946988
e017b72209d85bdd3fa0ee3cbc77ba07,Eukaryota;TSAR;Rhizaria;Radiolaria;RAD-B;RAD-B_X;RAD-B_X_Group-Ie;RAD-B_X_Group-Ie_X;RAD-B_X_Group-Ie_X_sp.;,0.999999402
892416796a98d76b54069c488126a927,Eukaryota;TSAR;Rhizaria;Radiolaria;Polycystinea;Nassellaria;Pterocorythidae;Pterocorys,0.718081337
0634c6de96bef5537b30c35dbcad105e,Eukaryota;Haptista;Haptophyta;Haptophyta_X;Prymnesiophyceae,0.999999994
4015a786a3a8cf4b1f64dbdd714a19e4,Eukaryota;TSAR;Rhizaria;Radiolaria;Polycystinea;Spumellaria;Liosphaeroidea_X;Liosphaeroidea_XX;Liosphaeroidea_XX_sp.;,0.989552835
445f709979d621842d8443ab1d4b5780,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium_veneficum;,0.917517032
f4bdee3352026c2a80f4a8bfcc1b4178,Eukaryota;TSAR;Stramenopiles;Gyrista,0.994103854
53f2d9db93b0fc1724ac5ee982f8fd86,Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-5;Dino-Group-I-Clade-5_X;Dino-Group-I-Clade-5_X_sp.;,0.938532185
897b46b78e4da308cb5257ff4af569f9,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Prasino-Clade-9;Prasino-Clade-9_X;Prasino-Clade-9_XX;Prasino-Clade-9_XXX;Prasino-Clade-9_XXX_sp.;,0.995823138
daf1209b5c8ef68a4891f6f0a74398ca,Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-V;Dino-Group-V_X;Dino-Group-V_XX;Dino-Group-V_XX_sp.;,0.963202996
bf70233ea62dc7a659de4e1a1ded5979,Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-III;Dino-Group-III_X;Dino-Group-III_XX;Dino-Group-III_XX_sp.;,0.999998961
316e294e199b5f13bbcbca801be0298f,Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-III;Dino-Group-III_X;Dino-Group-III_XX;Dino-Group-III_XX_sp.;,0.998941921
6ca0b3a1f8596d615fc286843a93a24f,Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;Dino-Group-I-Clade-4_X;Dino-Group-I-Clade-4_X_sp.;,0.999238303
ea390b2fb5c0e67bda5301641d6ebcc9,Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;Dino-Group-I-Clade-4_X;Dino-Group-I-Clade-4_X_sp.;,0.999999836
0d329f1969a78938ae4434b9afcffad6,Eukaryota;TSAR;Stramenopiles;Gyrista;Gyrista_X;Gyrista_XX;MAST-1;MAST-1D;MAST-1D_sp.;,0.999998456
354a4584d4b86e959931eb4aebd9cef2,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda,0.999693657
759d10db6508a4d736010ee6ddfc63d3,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Pseudocalanus;Pseudocalanus_elongatus;,0.846536587
dc750e5adcf9987dcbf8dff1bf292dba,Eukaryota;Obazoa;Opisthokonta;Metazoa;Annelida;Annelida_X;Annelida_XX;Conchoecia_annelida;Conchoecia_annelida_sp.;,0.841822464
463500d96d471b63072460eb3967767c,Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Sagenista_X;MAST-4;MAST-4C;MAST-4C_sp.;,0.999991428
218a60554de23a6f3c8e7c72a882633b,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda,1
fa2241f134acfe38705d122277a3936a,Eukaryota;TSAR;Stramenopiles;Gyrista;MOCH-5;MOCH-5_X;MOCH-5_XX;MOCH-5_XXX;MOCH-5_XXX_sp.;,0.997866162
3f6fc7f9feb576f0132949b9c3413c6f,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Thoracosphaeraceae,0.768306967
24b20d135215a3717c835b59331c86e2,Eukaryota;Obazoa;Opisthokonta;Metazoa;Brachiopoda;Brachiopoda_X;Brachiopoda_XX;Lingula;Lingula_anatina;,0.95576258
9c31568b2674578b1a6ae08ed1755492,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Warnowiaceae,0.771037122
5bb303afff4c34415e5287fd4999273b,Eukaryota;TSAR;Rhizaria;Radiolaria;Polycystinea;Nassellaria;Sphaerozoidae,0.74406362
c2476c08d3694251dd1d51dd7505541b,Eukaryota;Obazoa;Opisthokonta;Metazoa;Cnidaria;Cnidaria_X;Hydrozoa,0.808450632
f56f603f00fd10c42682967f06d14cfd,Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;,0.999992807
812f801f269a15136dd1f4d30162242b,Eukaryota;TSAR;Stramenopiles;Gyrista;Coscinodiscophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;Coscinodiscus_wailesii;,0.999999948
169a119ddc1c68b385caa6abfd2961f8,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Lepidodinium;Lepidodinium_viride;,0.980672963
ccbec168cf7833478b3924f900315f93,Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-7;Dino-Group-I-Clade-7_X;Dino-Group-I-Clade-7_X_sp.;,0.999936871
98e0731be944f33b524885b7a667a282,Eukaryota;TSAR;Stramenopiles;Bigyra;Opalozoa;Nanomonadea;MAST-3;MAST-3B;MAST-3B_sp.;,0.932469917
412fcf3c3d3be127af3e42bd0af0335b,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae,0.998387085
9cafa116356effa172e79ec7713af56f,Eukaryota;TSAR;Rhizaria;Radiolaria;RAD-B;RAD-B_X;RAD-B_X_Group-IV_X;RAD-B_X_Group-IV_XX;RAD-B_X_Group-IV_XX_sp.;,0.947348019
d24aa5c715ec7e6fbdeafbebc09a7bca,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda,0.999999993
88a2b527a3d9bd1510d4a8ef3e2c72a6,Eukaryota;Excavata;Discoba;Euglenozoa;Diplonemea;Diplonemida;Eupelagonemidae;Eupelagonemidae_X;Eupelagonemidae_X_sp.;,1
9571944a7873f9aa22541b8c1c31478d,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Trebouxiophyceae;Chlorellales;Chlorellales_X;Picochlorum,0.999777193
eeed7b2798268097b6fdf4e3d51dd417,Eukaryota;TSAR;Rhizaria;Radiolaria;RAD-A;RAD-A_X;RAD-A_Xb;RAD-A_Xb_X;RAD-A_Xb_X_sp.;,0.978598196
fc5841a3581b2fec757b7842439e92de,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Acrocalanus;Acrocalanus_gracilis;,0.999561366
9a6185dc62bd4412ecc45d00f4f5bc16,Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Sagenista_X;MAST-4;MAST-4B;MAST-4B_sp.;,0.999994102
50bcd0c056890c5e4f1ed0cfc00e9c84,Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;,0.817083613
544879c4e0a8fca5efc683995c270214,Eukaryota;TSAR;Stramenopiles,0.966150591
53069467a7a86044f28edda7f8b8646e,Eukaryota,0.988377302
cae99a739de64f8256daa9229593e121,Eukaryota;Obazoa;Opisthokonta;Metazoa;Cnidaria;Cnidaria_X;Hydrozoa,0.999999925
e22cb123b3575b1a4065cb96c9ef559a,Eukaryota;TSAR;Rhizaria;Radiolaria;Polycystinea;Spumellaria;Astrosphaeridae;Heliosphaera;Heliosphaera_sp.;,0.865359063
f18d58eb0c7f07244ff3b9a2a7b50857,Eukaryota;TSAR;Rhizaria;Radiolaria;Acantharea;Acantharea_F;Acantharea_F2;Amphibelone;Amphibelone_heteracanthum;,0.999998026
33429d0f9d8f59ea1e5c8a108d178869,Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-6;Dino-Group-II-Clade-6_X;Dino-Group-II-Clade-6_X_sp.;,0.99274376
f090386a3a7f00a4afaf6559504b76e4,Eukaryota;Obazoa;Opisthokonta;Metazoa;Cnidaria;Cnidaria_X;Hydrozoa;Pantachogon;Pantachogon_haeckeli;,0.991827499
7a54b2e8ae0a0638fb16ef10d877d702,Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;,0.999999315
aaa68a20eecb0a130ee2acb4fa4b79bf,Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Sagenista_X;MAST-7;MAST-7B;MAST-7B_sp.;,0.999989178
d509fc93fb75c5361c5e8ad4761a1b35,Eukaryota;Cryptista;Kathablepharidacea;Kathablepharida;Kathablepharidea;Kathablepharidida;Kathablepharidida_X;Kathablepharidida_XX;Kathablepharidida_XX_sp.;,0.999573592
cafb66296afb5dcc68ec8fc8b2eb6190,Eukaryota;Obazoa;Opisthokonta;Metazoa;Mollusca;Gastropoda,0.986083312
066e505f07e8b22db5c6ebffe445f948,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium_sp.;,0.991834242
d1945b17adef19ddffe3386180d3f4c2,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Thoracosphaeraceae;Scrippsiella,0.929833444
cbe863b3730c199fc3ad5234864fd7b4,Eukaryota;TSAR;Rhizaria;Radiolaria;Polycystinea;Spumellaria;Astrosphaeridae,0.999998777
b2fa929a03afc9a3debadd32edf6e031,Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-2;Dino-Group-I-Clade-2_X;Dino-Group-I-Clade-2_X_sp.;,0.999847543
a4940dc90f5a02532ce3f736f130c93e,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Copilia;Copilia_mirabilis;,0.999999963
